Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
3000,12/9/2007,abqmalenurse,530,7.30%,871xx,NM,1 year,0
5000,12/9/2007,Teecee,531,6.46%,337xx,FL,1 year,0
5000,12/9/2007,major_purchase,773,32.68%,703xx,LA,6 years,0
4500,12/9/2007,faithmove,465,36.37%,300xx,GA,< 1 year,0
22500,12/9/2007,cdowns,669,13.73%,986xx,WA,2 years,0
17500,12/9/2007,debt_consolidation,759,25.67%,130xx,NY,10+ years,0
9000,12/9/2007,debt_consolidation,,100%,117xx,NY,10+ years,0
3000,12/9/2007,stella,474,12.48%,224xx,VA,8 years,0
1500,12/9/2007,other,658,43.05%,018xx,MA,6 years,0
15000,12/9/2007,jessiesiam,505,28.61%,207xx,MD,7 years,0
14000,12/9/2007,debt_consolidation,709,39.50%,352xx,AL,8 years,0
10000,12/9/2007,Mcarver74,557,19.34%,685xx,NE,7 years,0
5000,12/9/2007,karnescitytexas,488,147.60%,781xx,TX,< 1 year,0
5000,12/9/2007,kenedytexas,437,58%,781xx,TX,< 1 year,0
3000,12/9/2007,debt_consolidation,641,30.18%,531xx,WI,1 year,0
15000,12/9/2007,B_Hayes_2007,695,20.35%,333xx,FL,5 years,0
15000,12/9/2007,cafeaulait115,676,39.78%,208xx,MD,10+ years,0
5000,12/9/2007,coriolan5,519,29.60%,115xx,NY,2 years,0
5000,12/9/2007,johnboy1478,0,0%,403xx,KY,< 1 year,0
2000,12/9/2007,mermaid39,532,9.70%,082xx,NJ,3 years,0
2300,12/9/2007,dever23b,670,5.68%,321xx,FL,< 1 year,0
2500,12/9/2007,tinytee6112,425,37.71%,891xx,NV,2 years,0
20000,12/9/2007,debt_consolidation,717,45.99%,022xx,MA,4 years,0
800,12/9/2007,mrhodes11,490,0%,336xx,FL,1 year,0
20000,12/9/2007,jcamp,658,11.21%,331xx,FL,1 year,0
4500,12/9/2007,wlcmbrdg,496,22.80%,112xx,NY,9 years,0
2500,12/9/2007,samn11,511,24.19%,325xx,FL,2 years,0
4500,12/9/2007,Paulbookman,585,15.10%,856xx,AZ,5 years,0
20000,12/9/2007,major_purchase,714,2.11%,461xx,IN,2 years,0
5000,12/9/2007,major_purchase,656,9.12%,339xx,FL,10+ years,0
10000,12/9/2007,adaz,440,0%,282xx,NC,< 1 year,0
9500,12/9/2007,new loan,701,3.07%,272xx,NC,4 years,0
5000,12/9/2007,Bert,592,0.36%,967xx,HI,9 years,0
3000,12/10/2007,hedyf,481,0%,422xx,KY,5 years,0
6000,12/10/2007,debt_consolidation,,100%,331xx,FL,2 years,0
15000,12/10/2007,debt_consolidation,694,26.08%,219xx,MD,4 years,0
10000,12/10/2007,jnickel,552,34.50%,685xx,NE,< 1 year,0
2500,12/10/2007,Gr8full1,0,0%,321xx,FL,1 year,0
7200,12/10/2007,Engagement Ring,670,12.16%,300xx,GA,5 years,0
2000,12/10/2007,Seattle Times,595,8.79%,980xx,WA,3 years,0
15000,12/10/2007,debt_consolidation,693,28%,109xx,NY,10+ years,0
2700,12/10/2007,ohiojohn,609,18.01%,435xx,OH,6 years,0
10000,12/10/2007,Personal,671,13.68%,331xx,FL,< 1 year,0
1500,12/10/2007,other,672,39.76%,325xx,FL,10+ years,0
4000,12/10/2007,genna11,550,14.66%,365xx,AL,2 years,0
10000,12/10/2007,hbowen,544,13.16%,770xx,TX,10+ years,0
10000,12/10/2007,other,,100%,300xx,GA,4 years,0
18500,12/10/2007,debt_consolidation,,100%,211xx,MD,10+ years,0
11000,12/10/2007,mikosu1,489,0%,395xx,MS,< 1 year,0
25000,12/10/2007,2008 restructure,696,8.64%,330xx,FL,7 years,0
10000,12/10/2007,ALLSTAR1640,0,0.57%,331xx,FL,5 years,0
7000,12/10/2007,aapatel1,697,9.39%,282xx,NC,< 1 year,0
3000,12/10/2007,home_improvement,,100%,115xx,NY,2 years,0
15000,12/10/2007,debt_consolidation,680,97.83%,078xx,NJ,< 1 year,0
8000,12/10/2007,latesept,587,29.08%,472xx,IN,2 years,0
2000,12/10/2007,helliker67,494,4.95%,989xx,WA,< 1 year,0
5000,12/10/2007,lrm,637,21.57%,666xx,KS,2 years,0
7000,12/10/2007,Ivan41,649,3.94%,111xx,NY,1 year,0
3000,12/10/2007,I would like to consolidate my debts into one loan. Thanks,588,0.51%,986xx,WA,< 1 year,0
5000,12/10/2007,sassesu,561,84.12%,989xx,WA,1 year,0
25000,12/10/2007,roel,610,25.84%,761xx,TX,< 1 year,0
25000,12/10/2007,piggles57,663,54.73%,770xx,TX,10+ years,0
10000,12/10/2007,Mgillette,525,0%,454xx,OH,< 1 year,0
4000,12/10/2007,rmadic,438,2.68%,967xx,HI,1 year,0
15000,12/10/2007,other,683,42.36%,325xx,FL,10+ years,0
5000,12/10/2007,eyota545,479,0%,554xx,MN,4 years,0
15000,12/10/2007,kdonlan,610,16.28%,020xx,MA,3 years,0
16400,12/10/2007,Great Short Investment!!!,662,39.71%,028xx,RI,< 1 year,0
500,12/10/2007,jpierce,460,22.27%,302xx,GA,< 1 year,0
2500,12/10/2007,kimoh,444,6.72%,451xx,OH,10+ years,0
2500,12/10/2007,JPJedi,493,22.25%,300xx,GA,4 years,0
16000,12/10/2007,personal loan,704,8.09%,787xx,TX,< 1 year,0
2500,12/10/2007,dianegrace,584,0%,762xx,TX,2 years,0
6500,12/10/2007,mspitt,624,22.35%,493xx,MN,2 years,0
1500,12/10/2007,Irishlace444,469,8.22%,984xx,WA,< 1 year,0
3500,12/10/2007,other,0,0%,326xx,FL,4 years,0
5000,12/10/2007,debt_consolidation,723,28.15%,144xx,NY,1 year,0
20000,12/10/2007,debt_consolidation,698,40.06%,073xx,NJ,6 years,0
6000,12/10/2007,debt_consolidation,634,5.70%,103xx,NY,6 years,0
2000,12/10/2007,Cynee2415,476,0%,073xx,NJ,4 years,0
4000,12/10/2007,debt_consolidation,724,30.23%,301xx,GA,4 years,0
10000,12/10/2007,home_improvement,797,4.71%,471xx,IN,10+ years,0
15000,12/10/2007,Eugene,688,25.91%,112xx,NY,1 year,0
2800,12/10/2007,angelrj,561,30%,777xx,TX,6 years,0
12000,12/10/2007,Debt Consolidation Loan,732,18.78%,531xx,WI,10+ years,0
10000,12/10/2007,semo15,657,25.74%,130xx,NY,1 year,0
20000,12/10/2007,joemacho79,637,35.71%,070xx,NJ,7 years,0
12000,12/10/2007,MariuszFrudko,630,5.86%,857xx,AZ,5 years,0
8500,12/10/2007,other,690,33.75%,653xx,MO,< 1 year,0
8000,12/10/2007,down payment,782,0.68%,305xx,GA,6 years,0
1000,12/10/2007,Chris1672,489,1.23%,809xx,CO,< 1 year,0
5000,12/10/2007,KingSolomon,619,0%,770xx,TX,7 years,0
15000,12/10/2007,fester30,677,25.58%,720xx,AR,5 years,0
3500,12/10/2007,amongeon74,507,19.86%,240xx,VA,1 year,0
10000,12/10/2007,TiffanyLynne,662,13.20%,720xx,AR,< 1 year,0
20000,12/10/2007,debt_consolidation,678,120.46%,338xx,FL,4 years,0
10000,12/10/2007,IPromise,453,37.90%,988xx,WA,10+ years,0
7000,12/10/2007,kipri033061,489,9.02%,786xx,TX,8 years,0
1000,12/10/2007,steelerfan66,443,16.50%,444xx,OH,< 1 year,0
3000,12/10/2007,mrstmack23,426,0%,146xx,NY,< 1 year,0
2500,12/10/2007,prttynikki,541,10.30%,352xx,AL,< 1 year,0
3000,12/10/2007,tweidow,561,1.11%,446xx,OH,7 years,0
20000,12/11/2007,other,720,8.32%,478xx,IN,1 year,0
20000,12/11/2007,debt_consolidation,655,11.24%,300xx,GA,4 years,0
5000,12/11/2007,ycarter,372,2.09%,444xx,OH,2 years,0
6000,12/11/2007,debt_consolidation,628,12.64%,302xx,GA,4 years,0
7000,12/11/2007,dee,447,15.11%,207xx,MD,2 years,0
9600,12/11/2007,bills,656,11.37%,331xx,FL,7 years,0
10000,12/11/2007,Ldyinwt,471,3.45%,763xx,TX,10+ years,0
10500,12/11/2007,Psalm23,613,1.91%,281xx,NC,2 years,0
10000,12/11/2007,major_purchase,772,0%,329xx,FL,10+ years,0
16000,12/11/2007,Esfahan,684,12.38%,207xx,MD,1 year,0
5000,12/11/2007,depdon,507,3.67%,148xx,NY,9 years,0
20500,12/11/2007,Racin13,746,15.23%,794xx,TX,< 1 year,0
8000,12/11/2007,sonhanguyen,678,25.06%,335xx,FL,5 years,0
2000,12/11/2007,bruce150,540,16.39%,440xx,OH,3 years,0
2000,12/11/2007,jenellzin,532,1.71%,338xx,FL,7 years,0
5000,12/11/2007,bwitkin,598,2.07%,117xx,NY,2 years,0
10000,12/11/2007,debt_consolidation,,100%,280xx,NC,6 years,0
20000,12/11/2007,debt_consolidation,716,58.14%,630xx,MO,4 years,0
20000,12/11/2007,other,741,31.44%,021xx,MA,4 years,0
5000,12/11/2007,Radar88,576,29.13%,551xx,MN,2 years,0
500,12/11/2007,Radar70,576,29.58%,548xx,WI,2 years,0
2000,12/11/2007,misskim,596,15.99%,112xx,NY,10+ years,0
2500,12/11/2007,debt_consolidation,666,45.29%,703xx,LA,< 1 year,0
8000,12/11/2007,other,641,2.66%,106xx,NY,1 year,0
3000,12/11/2007,help mike,544,19.86%,490xx,MO,2 years,0
25000,12/11/2007,hungr1010,643,20.77%,278xx,NC,< 1 year,0
15000,12/11/2007,debt_consolidation,647,19.67%,330xx,FL,4 years,0
15000,12/11/2007,bngvog50,589,2.15%,303xx,GA,7 years,0
5000,12/11/2007,eileanan,490,38.09%,863xx,AZ,3 years,0
7500,12/11/2007,debt_consolidation,629,23.76%,327xx,FL,2 years,0
9000,12/11/2007,megpie,614,117.42%,040xx,ME,1 year,0
1500,12/11/2007,Creshaun,437,25.50%,891xx,UT,1 year,0
500,12/11/2007,MARCIA_24,487,0%,328xx,FL,< 1 year,0
4000,12/11/2007,yahnnah,406,21.24%,620xx,IN,< 1 year,0
15000,12/11/2007,BetterTimes,656,28.77%,301xx,GA,10+ years,0
3000,12/11/2007,n09,559,3.20%,326xx,FL,< 1 year,0
1500,12/11/2007,major_purchase,674,37.13%,136xx,NY,10+ years,0
5500,12/11/2007,telrashidi,709,34.17%,805xx,CO,1 year,0
2000,12/11/2007,Looking to help get back on track,444,39.02%,212xx,MD,6 years,0
7800,12/11/2007,sarajane,599,66.34%,286xx,NC,2 years,0
20000,12/11/2007,debt_consolidation,621,8.16%,100xx,NY,2 years,0
5000,12/11/2007,vikinfan6695,403,0.34%,290xx,SC,5 years,0
25000,12/11/2007,Suzan,469,0%,372xx,TN,5 years,0
8000,12/11/2007,Moving Out,571,6.32%,089xx,NJ,< 1 year,0
20000,12/11/2007,New car,750,15.79%,303xx,GA,1 year,0
1600,12/11/2007,"Hey,  This is a call to action.  An old debt of mine has been called in suddenly and unexpectedly and If I do not pay this amount I will lose everything.  I am a business owner starting up a personal development and coaching company, but I cannot help others if this does not get taken care of.  Once this loan is completed I will offer free coaching and free access to all of the books I have authored as a bonus.  This is not a gimmick, I just want to help people and keep my head above water.  Let me know if you have any questions, and go ahead and start processing the loan.  I need it ASAP.",471,55.80%,303xx,GA,1 year,0
6000,12/11/2007,other,664,11.27%,080xx,NJ,2 years,0
25000,12/11/2007,paintguru,612,40.10%,232xx,VA,1 year,0
10000,12/11/2007,ashes13,457,16.05%,303xx,GA,< 1 year,0
20000,12/11/2007,debt_consolidation,720,28.44%,706xx,LA,< 1 year,0
8000,12/11/2007,sweet61q,608,10.94%,920xx,CO,1 year,0
1000,12/11/2007,school,711,18.66%,070xx,NJ,1 year,0
20000,12/12/2007,debt_consolidation,,100%,043xx,ME,10+ years,0
20000,12/12/2007,alberto feliberty,722,2.56%,347xx,FL,10+ years,0
5750,12/12/2007,Personal Loan,724,22.52%,220xx,VA,1 year,0
25000,12/12/2007,springinserts,629,0.42%,346xx,FL,4 years,0
8500,12/12/2007,Legacy Residential,431,0.61%,303xx,GA,< 1 year,0
500,12/12/2007,ruthie27,569,32.89%,300xx,GA,2 years,0
6000,12/12/2007,copper,530,35.71%,389xx,MS,5 years,0
2500,12/12/2007,FamilyMan27,443,27.16%,344xx,FL,7 years,0
3000,12/12/2007,worktolive,523,22.05%,330xx,FL,2 years,0
11000,12/12/2007,debt_consolidation,724,4.53%,272xx,NC,6 years,0
8000,12/12/2007,Education Loan,503,32.14%,334xx,FL,1 year,0
2000,12/12/2007,debt_consolidation,,100%,631xx,MO,4 years,0
2000,12/12/2007,texas ranger,426,20.19%,769xx,TX,10+ years,0
25000,12/12/2007,jewelz0126,628,15.20%,062xx,CT,< 1 year,0
10000,12/12/2007,Wifes Medical Expenses,627,6.39%,956xx,OK,1 year,0
7500,12/12/2007,debt_consolidation,718,17.37%,275xx,NC,4 years,0
25000,12/12/2007,inneedoffunds,446,2.78%,770xx,TX,3 years,0
1300,12/12/2007,usarmybrats5,487,0%,984xx,WA,5 years,0
25000,12/12/2007,jbeck,660,20.92%,773xx,TX,2 years,0
25000,12/12/2007,Shaun_M,425,0%,770xx,TX,4 years,0
3000,12/12/2007,Indiana Mom,579,19.37%,460xx,IN,2 years,0
10000,12/12/2007,debt_consolidation,631,15.53%,328xx,FL,4 years,0
5000,12/12/2007,jm3670,557,8.07%,668xx,KS,10+ years,0
6000,12/12/2007,jmfenton,661,21.27%,750xx,TX,3 years,0
5000,12/12/2007,Personal Loan,667,19.50%,802xx,CO,1 year,0
12000,12/12/2007,RKilmer,643,19.79%,336xx,FL,1 year,0
10000,12/12/2007,kevin irby,631,3.88%,319xx,GA,2 years,0
500,12/12/2007,lberry26,377,32.17%,767xx,TX,< 1 year,0
18000,12/12/2007,HollyCavileer,729,27.44%,080xx,NJ,10+ years,0
10000,12/12/2007,ricknieves,556,25.23%,601xx,IL,6 years,0
20000,12/12/2007,"This loan is to help pay off a high interest rate credit card and allow us (me and my wife) to save money or to boost the payment of the credit card account.   We both have a stable work at the University and medical center.  I am a very hard worker, and a valuable member of my research laboratory and the University.  My wife also works with me in the same division.  I use to have a good credit score because I make payments on time, every time.  I pay my bills before they are due, but lately, because of the high APR of my credit card, we have been very tight to keep this good history going.  We don�t want to �consolidate� or �settle� our payment, because we want to keep our account history.  There is no intention to fall in the credit �trap� again.  Lowering my APR, we�ll be ok, and in our way to pursue our financial plan.  I�m sure that in a short period of time we�ll pay our debt, and we�ll also be in the position to turn around and help others.  Thank you for considering my loan.  ",667,27.84%,331xx,FL,1 year,0
3000,12/12/2007,gaminggolfer24,418,15.63%,852xx,AZ,3 years,0
5500,12/12/2007,VMor,0,0%,547xx,WI,< 1 year,0
5000,12/12/2007,aklel5,456,26.90%,936xx,AZ,10+ years,0
5000,12/12/2007,debt_consolidation,716,0.67%,320xx,FL,2 years,0
500,12/12/2007,curlybabe_23,519,4.43%,330xx,FL,< 1 year,0
5500,12/12/2007,KMor,562,0%,547xx,WI,< 1 year,0
500,12/12/2007,tedd,522,27.86%,337xx,FL,1 year,0
6500,12/12/2007,benh,0,0%,707xx,LA,1 year,0
25000,12/12/2007,Aerospace Student,480,15.99%,852xx,AZ,1 year,0
14000,12/12/2007,debt_consolidation,687,36.37%,112xx,NY,10+ years,0
15000,12/12/2007,debt_consolidation,659,42.71%,660xx,KS,10+ years,0
20000,12/12/2007,debt_consolidation,630,33.79%,130xx,NY,1 year,0
2525,12/12/2007,rideplaylove,612,0%,321xx,FL,2 years,0
3700,12/12/2007,bills,553,0.50%,940xx,CA,1 year,0
20000,12/12/2007,debt_consolidation,686,44.35%,075xx,NJ,2 years,0
7000,12/12/2007,"Buy new Computer, Car",664,1.43%,117xx,NY,4 years,0
16000,12/12/2007,Growth Capital,717,22.22%,331xx,FL,6 years,0
2500,12/12/2007,Consolidating Credit Cards!,647,9.21%,283xx,NC,< 1 year,0
5500,12/12/2007,eddyzawa,0,0%,780xx,TX,1 year,0
12000,12/12/2007,sisko,505,55.76%,581xx,MN,< 1 year,0
500,12/12/2007,I am trying to establish first time credit.  I am recently divorced and everything that we had was in my ex-husband's name.  I had never gave this a thought before the divorce but now I find that it is not a good thing not to have some debt!  I am a 30-year old other of two.  I have a positive work history and steady income.  I feel that financially I am in a good place but this is not reflected by my credit report since I have never had credit!!!  After a lot of research I think that peer-to-peer lending will give me the opportunity to get established.   ,0,0%,356xx,AL,< 1 year,0
18000,12/12/2007,Consolidation,671,6.21%,130xx,NY,2 years,0
3500,12/12/2007,jswimmy,0,0%,053xx,VT,3 years,0
3000,12/12/2007,mbruns85,595,13.82%,563xx,MN,< 1 year,0
1500,12/12/2007,paying off a bill to get car title back ,629,29.13%,395xx,MS,10+ years,0
17500,12/12/2007,debt_consolidation,663,24.90%,080xx,NJ,10+ years,0
12000,12/12/2007,clean up,691,14.68%,038xx,NH,6 years,0
5500,12/12/2007,debt_consolidation,736,69.20%,107xx,NY,4 years,0
10000,12/12/2007,CHRISD,612,0.84%,707xx,LA,< 1 year,0
10000,12/12/2007,debt_consolidation,700,23.90%,214xx,MD,4 years,0
5000,12/12/2007,MINISTERCK,593,14.13%,114xx,NY,3 years,0
15000,12/12/2007,wan99,643,16.67%,301xx,GA,2 years,0
10000,12/12/2007,meowdave,505,0.60%,088xx,NJ,< 1 year,0
2200,12/12/2007,home_improvement,713,0%,937xx,CA,< 1 year,0
12000,12/12/2007,MacMcguirk,653,41.80%,226xx,VA,2 years,0
5000,12/12/2007,Ladyolds68,531,12.43%,217xx,MD,3 years,0
25000,12/12/2007,Jess30,523,22.32%,958xx,CA,< 1 year,0
8000,12/12/2007,charlieandbender,631,20.73%,983xx,WA,< 1 year,0
20000,12/12/2007,basschord,523,27.03%,220xx,VA,10+ years,0
5000,12/12/2007,Tiptons,577,8.51%,490xx,MI,1 year,0
20000,12/12/2007,pigmaggie,658,45.60%,917xx,CA,< 1 year,0
12000,12/12/2007,mscouture,501,10.92%,302xx,GA,< 1 year,0
5000,12/13/2007,debt_consolidation,641,6.52%,368xx,AL,< 1 year,0
3100,12/13/2007,jmiranda1524,456,33.79%,307xx,GA,2 years,0
3500,12/13/2007,betsymelba,465,2.87%,045xx,ME,4 years,0
3500,12/13/2007,maurismom,503,2.40%,722xx,AR,< 1 year,0
22000,12/13/2007,debt_consolidation,686,38.70%,327xx,FL,4 years,0
3900,12/13/2007,doctorbro,463,8.17%,339xx,FL,< 1 year,0
15000,12/13/2007,debt_consolidation,763,31.38%,145xx,NY,1 year,0
5000,12/13/2007,roborick0635,584,18.91%,302xx,GA,7 years,0
10000,12/13/2007,maxsaminc,564,28.47%,146xx,NY,9 years,0
4500,12/13/2007,other,,100%,852xx,AZ,10+ years,0
4000,12/13/2007,other,629,14.88%,302xx,GA,10+ years,0
20000,12/13/2007,other,646,10.57%,100xx,NY,10+ years,0
6000,12/13/2007,tjrm2007,514,12.95%,479xx,IN,10+ years,0
8500,12/13/2007,other,,100%,766xx,TX,4 years,0
10000,12/13/2007,other,,100%,105xx,NY,10+ years,0
6500,12/13/2007,gibralter,580,14.01%,494xx,MI,10+ years,0
6000,12/13/2007,jade,506,15.84%,479xx,IN,1 year,0
20000,12/13/2007,debt_consolidation,677,42.61%,823xx,WY,< 1 year,0
3000,12/13/2007,pooheeyr756,629,22.79%,321xx,FL,< 1 year,0
3000,12/13/2007,Hwsilkwrap,478,20.28%,236xx,VA,10+ years,0
10000,12/13/2007,other,,100%,331xx,FL,10+ years,0
15000,12/13/2007,debt_consolidation,713,64.08%,785xx,TX,4 years,0
20000,12/13/2007,debt_consolidation,681,31.87%,926xx,CA,2 years,0
2000,12/13/2007,difogo,480,22.93%,021xx,MA,6 years,0
1000,12/13/2007,Lainie1258,0,0%,301xx,GA,10+ years,0
3500,12/13/2007,amichael_0218,493,3.77%,334xx,FL,1 year,0
500,12/13/2007,alawson75,484,22.86%,616xx,IL,2 years,0
20000,12/13/2007,bonc182,605,0.42%,303xx,GA,4 years,0
12000,12/13/2007,debt_consolidation,689,26.67%,779xx,TX,10+ years,0
5000,12/13/2007,phil48,542,8.02%,046xx,ME,1 year,0
8500,12/13/2007,other,661,17.11%,272xx,NC,10+ years,0
10000,12/13/2007,davidlharvey,482,42.35%,646xx,MO,7 years,0
5000,12/13/2007,flipchicktp,539,6%,955xx,CA,< 1 year,0
7000,12/13/2007,abaqus37,575,32.17%,480xx,MI,2 years,0
4000,12/13/2007,clark251,0,625200%,088xx,NJ,2 years,0
1000,12/13/2007,ljlk,639,8.57%,274xx,NC,1 year,0
14500,12/13/2007,andrewm7224,564,16.75%,920xx,CA,6 years,0
1500,12/13/2007,snuckums,427,62.40%,191xx,PA,3 years,0
7000,12/13/2007,other,646,0%,925xx,CA,8 years,0
5000,12/13/2007,dpham86,618,14.85%,731xx,OK,< 1 year,0
10000,12/13/2007,shortwrite,564,13.67%,303xx,GA,< 1 year,0
3000,12/13/2007,soontobejustmarried,457,17.30%,532xx,WI,6 years,0
500,12/13/2007,nduncan77,495,0%,328xx,FL,1 year,0
15000,12/13/2007,yechimhm,613,33.33%,112xx,NY,1 year,0
4000,12/13/2007,Trapped-Over Bearing Credit Card,665,19.02%,322xx,FL,< 1 year,0
12000,12/13/2007,debt_consolidation,741,25.97%,546xx,WI,10+ years,0
2000,12/13/2007,restructuring debt,663,0%,653xx,MO,< 1 year,0
20000,12/13/2007,Buying out my partner,766,8.70%,547xx,WI,7 years,0
2500,12/13/2007,YukonRB,614,0.77%,026xx,MA,2 years,0
15000,12/13/2007,debt_consolidation,635,7.73%,111xx,NY,6 years,0
5000,12/13/2007,bearcoll,510,5.38%,945xx,CA,7 years,0
25000,12/13/2007,JakeVogel,463,6.01%,913xx,CA,2 years,0
5500,12/13/2007,kristiem86,454,1.25%,120xx,NY,1 year,0
5000,12/13/2007,BradenJ,454,6.16%,489xx,MI,2 years,0
10000,12/13/2007,debt_consolidation,669,13.20%,285xx,NC,10+ years,0
5000,12/13/2007,Meidi18,614,24.86%,921xx,CA,< 1 year,0
25000,12/13/2007,Hurricane Rita Caused a Pressure Wound,700,11.01%,770xx,TX,4 years,0
2000,12/13/2007,A325pro,0,2.50%,191xx,PA,< 1 year,0
12500,12/13/2007,SG5272,509,20.65%,112xx,NY,10+ years,0
2000,12/13/2007,mthauberger,474,19.95%,953xx,CA,6 years,0
25000,12/13/2007,Justin8911,444,18.69%,484xx,MI,6 years,0
15000,12/13/2007,other,661,2.01%,070xx,NJ,10+ years,0
21000,12/13/2007,debt_consolidation,728,10.82%,287xx,NC,10+ years,0
23000,12/13/2007,cjbk,621,2.21%,573xx,SD,1 year,0
2000,12/13/2007,egoforth,467,0%,409xx,KY,10+ years,0
7500,12/13/2007,The Most Responsible Borrower Ever,665,15.54%,931xx,CA,3 years,0
3000,12/13/2007,other,,100%,405xx,KY,10+ years,0
1500,12/13/2007,vmarie71,481,3.59%,782xx,TX,< 1 year,0
20000,12/13/2007,debt_consolidation,684,41.08%,130xx,NY,3 years,0
10000,12/13/2007,hinckj2008,412,11.64%,834xx,ID,1 year,0
12000,12/13/2007,debt_consolidation,663,29.33%,214xx,MD,4 years,0
10000,12/13/2007,LPurvis,450,0%,221xx,VA,1 year,0
1200,12/13/2007,pdiddy5880,530,12.06%,212xx,MD,10+ years,0
3000,12/13/2007,kahuria,442,22.58%,731xx,OK,3 years,0
3000,12/13/2007,dcwcst45,501,16%,290xx,SC,10+ years,0
2000,12/13/2007,stiles2886,425,1.43%,346xx,FL,1 year,0
2000,12/13/2007,LAMBSHOUSE,501,0%,444xx,OH,1 year,0
2000,12/13/2007,josh803,391,25.05%,337xx,FL,< 1 year,0
20000,12/13/2007,debt_consolidation,623,42.40%,210xx,MD,1 year,0
25000,12/13/2007,anthony7,524,77.88%,902xx,CA,10+ years,0
20000,12/13/2007,newmommy,511,33.34%,605xx,IL,< 1 year,0
1000,12/13/2007,JENN08,489,0%,453xx,OH,4 years,0
9000,12/14/2007,Diane,569,15.11%,338xx,FL,6 years,0
5000,12/14/2007,izwm95,0,0.40%,240xx,VA,5 years,0
20000,12/14/2007,debt_consolidation,689,37.35%,850xx,AZ,2 years,0
10000,12/14/2007,sambo68,500,2.07%,330xx,FL,9 years,0
1500,12/14/2007,russell326,608,0.26%,592xx,MT,7 years,0
10000,12/14/2007,Consolidate Debt,523,17.35%,490xx,MI,1 year,0
5000,12/14/2007,short term loan,661,18.38%,331xx,FL,10+ years,0
5000,12/14/2007,debt_consolidation,594,11.62%,284xx,NC,1 year,0
5000,12/14/2007,major_purchase,632,25.56%,334xx,FL,10+ years,0
500,12/14/2007,hotnix420,0,0%,336xx,NY,< 1 year,0
1500,12/14/2007,snake,472,24.89%,600xx,IL,1 year,0
5500,12/14/2007,Dizrezpekt,0,1.20%,232xx,VA,< 1 year,0
25000,12/14/2007,creasian,696,50.34%,852xx,AZ,4 years,0
23000,12/14/2007,debt_consolidation,678,27.53%,112xx,NY,4 years,0
18000,12/14/2007,Debt Consolidation,648,13.78%,402xx,KY,4 years,0
7000,12/14/2007,sup191,676,103.66%,532xx,WI,< 1 year,0
25000,12/14/2007,sgolding,616,3.88%,117xx,NY,< 1 year,0
12000,12/14/2007,JAS,520,2.55%,853xx,AZ,1 year,0
5500,12/14/2007,glynispersonalloan,717,15%,780xx,TX,5 years,0
24000,12/14/2007,Arleyj,651,11.50%,080xx,NJ,1 year,0
16000,12/14/2007,debt_consolidation,621,17.36%,680xx,NE,10+ years,0
20000,12/14/2007,debt_consolidation,689,9.59%,760xx,TX,10+ years,0
23000,12/14/2007,other,718,0%,532xx,WI,< 1 year,0
3000,12/14/2007,Dustin,594,5.04%,738xx,OK,1 year,0
2000,12/14/2007,maxrivero,484,53.04%,850xx,AZ,1 year,0
8000,12/14/2007,12_14_2007,710,9.56%,705xx,LA,10+ years,0
8000,12/14/2007,Consolidate Debt,682,6.56%,330xx,FL,3 years,0
20000,12/14/2007,debt_consolidation,664,28.47%,666xx,KS,1 year,0
20000,12/14/2007,other,677,37.49%,917xx,CA,10+ years,0
10000,12/14/2007,home_improvement,737,34.12%,212xx,MD,10+ years,0
20000,12/14/2007,shirleymoon,572,2.74%,925xx,CA,2 years,0
500,12/14/2007,Christopher Semon,502,0%,328xx,FL,< 1 year,0
1500,12/14/2007,smooquies,474,14.40%,394xx,MS,< 1 year,0
700,12/14/2007,bone33,433,6.86%,658xx,MO,5 years,0
20000,12/14/2007,debt_consolidation,708,16.33%,279xx,NC,10+ years,0
14000,12/14/2007,debt_consolidation,,100%,325xx,FL,4 years,0
9000,12/14/2007,mortgageerin,618,25.62%,352xx,AL,5 years,0
2000,12/14/2007,kenneyl85,430,18.09%,954xx,CA,4 years,0
5500,12/14/2007,Brite,615,13.91%,974xx,OR,< 1 year,0
500,12/14/2007,Heavenlygoddess85,504,0%,374xx,TN,< 1 year,0
6500,12/14/2007,sloe818,715,0.83%,917xx,CA,4 years,0
5000,12/14/2007,poobear9307,549,5%,606xx,IL,6 years,0
4800,12/14/2007,seasonedracer,520,9.20%,270xx,NC,3 years,0
1000,12/14/2007,missmandap,570,1.50%,731xx,OK,1 year,0
10000,12/14/2007,debt_consolidation,730,29.08%,303xx,GA,9 years,0
25000,12/14/2007,Thomas1,493,28.54%,968xx,HI,2 years,0
15000,12/14/2007,debt_consolidation,619,24.04%,300xx,GA,1 year,0
20000,12/14/2007,counselu,669,0%,970xx,OR,10+ years,0
15000,12/14/2007,debt_consolidation,685,26.83%,640xx,MO,3 years,0
20000,12/14/2007,faele,738,0%,532xx,WI,1 year,0
5000,12/14/2007,ambwsb1,0,0%,238xx,VA,3 years,0
25000,12/14/2007,Dan1106,469,14.85%,554xx,MN,1 year,0
500,12/14/2007,jerryturner05,447,0%,452xx,OH,< 1 year,0
2000,12/14/2007,Zach,620,2.84%,559xx,MN,3 years,0
1000,12/14/2007,rdrobish,400,0%,184xx,PA,< 1 year,0
